Entity,Code,GDP per capita,"Total population (Gapminder, HYDE & UN)"
Afghanistan,AFG,2014.7453,36296111
Albania,ALB,10702.1201,2884169
Algeria,DZA,14267.2306,41389174
Angola,AGO,8146.4354,29816769
Argentina,ARG,19200.9061,43937143
Armenia,ARM,10859.3783,2944789
Australia,AUS,49265.6135,24584619
Austria,AUT,42177.3706,8819902
Azerbaijan,AZE,16522.3072,9845316
Bahrain,BHR,40695.7165,1494077
Bangladesh,BGD,3837.0503,159685421
Barbados,BRB,12061.0971,286229
Belarus,BLR,18113.3845,9450233
Belgium,BEL,39352.1633,11419752
Benin,BEN,2141.573,11175192
Bolivia,BOL,6521.3698,11192853
Bosnia and Herzegovina,BIH,10069.2356,3351534
Botswana,BWA,15397.4293,2205076
Brazil,BRA,13951.5999,207833825
Bulgaria,BGR,17763.6924,7102452
Burkina Faso,BFA,1530.2047,19193236
Burundi,BDI,671.3169,10827010
Cambodia,KHM,3425.3947,16009413
Cameroon,CMR,2850.2726,24566070
Canada,CAN,44591.6417,36732091
Cape Verde,CPV,6576.9429,537499
Central African Republic,CAF,606.6967,4596023
Chad,TCD,2066.3463,15016761
Chile,CHL,21650.3918,18470435
China,CHN,12733.9314,1421021794
Colombia,COL,13358.0323,48909844
Comoros,COM,1712.8394,813890
Congo,COG,5747.0252,5110701
Costa Rica,CRI,14470.7773,4949955
Cote d'Ivoire,CIV,3558.8382,24437475
Croatia,HRV,21232.3607,4182846
Cuba,CUB,8141.7435,11339255
Cyprus,CYP,26445.2868,1179685
Czechia,CZE,29997.7582,10641032
Democratic Republic of Congo,COD,838.7815,81398765
Denmark,DNK,45455.5561,5732277
Djibouti,DJI,3168.4477,944100
Dominica,DMA,8842.0227,71460
Dominican Republic,DOM,15018.9353,10513111
Ecuador,ECU,10637.2771,16785356
Egypt,EGY,11619.6884,96442590
El Salvador,SLV,8428.0316,6388124
Equatorial Guinea,GNQ,31047.8288,1262008
Estonia,EST,26254.202,1319389
Eswatini,SWZ,7963.2881,1124808
Ethiopia,ETH,1753.3181,106399926
Finland,FIN,38366.5596,5511372
France,FRA,37895.0004,64842513
Gabon,GAB,17963.0127,2064812
Gambia,GMB,1819.4099,2213900
Georgia,GEO,11430.7238,4008723
Germany,DEU,45619.7846,82658409
Ghana,GHA,4103.5561,29121464
Greece,GRC,22959.1219,10569449
Guatemala,GTM,7308.2695,16914979
Guinea,GIN,1562.5074,12067516
Guinea-Bissau,GNB,1482.9693,1828146
Haiti,HTI,1725.6064,10982367
Honduras,HND,4941.2991,9429016
Hong Kong,HKG,49918.6025,7306315
Hungary,HUN,24349.9582,9729822
Iceland,ISL,42978.2349,334395
India,IND,6449.1134,1338676779
Indonesia,IDN,11364.5533,264650968
Iran,IRN,17686.8048,80673888
Iraq,IRQ,13211.2623,37552789
Ireland,IRL,60544.2773,4753281
Israel,ISR,32339.0925,8243849
Italy,ITA,34027.3374,60673694
Jamaica,JAM,7135.1796,2920848
Japan,JPN,38414.8618,127502728
Jordan,JOR,11494.3767,9785840
Kazakhstan,KAZ,24556.9112,18080023
Kenya,KEN,3249.8771,50221146
Kuwait,KWT,66010.1354,4056102
Kyrgyzstan,KGZ,5055.9154,6189727
Laos,LAO,6166.2762,6953031
Latvia,LVA,23132.7978,1951097
Lebanon,LBN,12880.7816,6819373
Lesotho,LSO,2720.6535,2091532
Liberia,LBR,828.6107,4702224
Libya,LBY,13008.4454,6580723
Lithuania,LTU,26157.2057,2845419
Luxembourg,LUX,56779.5514,591914
Madagascar,MDG,1399.5761,25570511
Malawi,MWI,1118.7711,17670193
Malaysia,MYS,24041.1138,31104655
Mali,MLI,1629.3592,18512429
Malta,MLT,30901.9303,437935
Mauritania,MRT,3431.4636,4282582
Mauritius,MUS,19521.5842,1264497
Mexico,MEX,16308.6402,124777326
Moldova,MDA,6419.1438,4059687
Mongolia,MNG,12767.8165,3113788
Montenegro,MNE,18568.8966,627563
Morocco,MAR,8290.8142,35581257
