Country 1,Code,Year,Mean years of schooling in the long run,Country2
China,CHN,2002,6.6,Australia
China,CHN,2003,6.7,Australia
China,CHN,2004,6.8,Australia
China,CHN,2005,6.9,Australia
China,CHN,2006,6.9,Australia
China,CHN,2007,7,Australia
China,CHN,2008,7,Australia
China,CHN,2009,7.1,Australia
China,CHN,2010,7.3,Australia
China,CHN,2011,7.4,Australia
China,CHN,2012,7.5,Australia
China,CHN,2013,7.5,Australia
China,CHN,2014,7.6,Australia
China,CHN,2015,7.7,Australia
China,CHN,2016,7.8,Australia
China,CHN,2017,7.8,Australia
Norway,NOR,2002,12.1,Australia
Norway,NOR,2003,12.2,Australia
Norway,NOR,2004,12.7,Australia
Norway,NOR,2005,12.4,Australia
Norway,NOR,2006,12.5,Australia
Norway,NOR,2007,12.6,Australia
Norway,NOR,2008,12.7,Australia
Norway,NOR,2009,12.7,Australia
Norway,NOR,2010,12.7,Australia
Norway,NOR,2011,12.8,Australia
Norway,NOR,2012,12.6,Australia
Norway,NOR,2013,12.7,Australia
Norway,NOR,2014,12.5,Australia
Norway,NOR,2015,12.5,Australia
Norway,NOR,2016,12.6,Australia
Norway,NOR,2017,12.6,Australia
United States,USA,2002,12.7,Australia
United States,USA,2003,12.8,Australia
United States,USA,2004,12.8,Australia
United States,USA,2005,12.8,Australia
United States,USA,2006,12.8,Australia
United States,USA,2007,12.9,Australia
United States,USA,2008,13.2,Australia
United States,USA,2009,13.2,Australia
United States,USA,2010,13.2,Australia
United States,USA,2011,13.3,Australia
United States,USA,2012,13.3,Australia
United States,USA,2013,13.2,Australia
United States,USA,2014,13.3,Australia
United States,USA,2015,13.3,Australia
United States,USA,2016,13.4,Australia
United States,USA,2017,13.4,Australia
