Year,Total years of schooling in the long run,Country1,Country2
2002,13098,Bangladesh,Australia
2002,5941,Canada,Australia
2002,88923,China,Australia
2002,36150,Hong Kong,Australia
2002,29670,India,Australia
2002,43624,Indonesia,Australia
2002,8699,Japan,Australia
2002,20884,"Korea, Republic of (South)",Australia
2002,21410,Malaysia,Australia
2002,7911,Nepal,Australia
2002,11777,Norway,Australia
2002,21619,Singapore,Australia
2002,12886,Taiwan,Australia
2002,19942,Thailand,Australia
2002,6558,United Kingdom,Australia
2002,6943,United States of America,Australia
2002,6410,Vietnam,Australia
2003,16961,Bangladesh,Australia
2003,7568,Canada,Australia
2003,123775,China,Australia
2003,42278,Hong Kong,Australia
2003,36034,India,Australia
2003,44875,Indonesia,Australia
2003,9943,Japan,Australia
2003,24953,"Korea, Republic of (South)",Australia
2003,23806,Malaysia,Australia
2003,6694,Nepal,Australia
2003,11845,Norway,Australia
2003,21244,Singapore,Australia
2003,13376,Taiwan,Australia
2003,22885,Thailand,Australia
2003,8143,United Kingdom,Australia
2003,8670,United States of America,Australia
2003,7346,Vietnam,Australia
2004,21713,Bangladesh,Australia
2004,8511,Canada,Australia
2004,162448,China,Australia
2004,45666,Hong Kong,Australia
2004,58547,India,Australia
2004,41635,Indonesia,Australia
2004,11923,Japan,Australia
2004,28873,"Korea, Republic of (South)",Australia
2004,23936,Malaysia,Australia
2004,5176,Nepal,Australia
2004,10812,Norway,Australia
2004,19415,Singapore,Australia
2004,12854,Taiwan,Australia
2004,24663,Thailand,Australia
2004,8580,United Kingdom,Australia
2004,9270,United States of America,Australia
2004,7612,Vietnam,Australia
2005,25621,Bangladesh,Australia
2005,10174,Canada,Australia
2005,220861,China,Australia
2005,45668,Hong Kong,Australia
2005,84115,India,Australia
2005,38093,Indonesia,Australia
2005,13244,Japan,Australia
2005,32651,"Korea, Republic of (South)",Australia
2005,24254,Malaysia,Australia
2005,4877,Nepal,Australia
2005,8205,Norway,Australia
2005,17988,Singapore,Australia
2005,12363,Taiwan,Australia
2005,22908,Thailand,Australia
2005,8917,United Kingdom,Australia
2005,10587,United States of America,Australia
2005,8453,Vietnam,Australia
2006,24585,Bangladesh,Australia
2006,10036,Canada,Australia
2006,253424,China,Australia
2006,39179,Hong Kong,Australia
2006,94702,India,Australia
2006,35755,Indonesia,Australia
2006,13275,Japan,Australia
2006,36189,"Korea, Republic of (South)",Australia
2006,24045,Malaysia,Australia
2006,6899,Nepal,Australia
2006,6026,Norway,Australia
2006,16337,Singapore,Australia
2006,12463,Taiwan,Australia
2006,21282,Thailand,Australia
2006,8678,United Kingdom,Australia
2006,10579,United States of America,Australia
2006,9541,Vietnam,Australia
2007,20596,Bangladesh,Australia
2007,9664,Canada,Australia
2007,267093,China,Australia
2007,32263,Hong Kong,Australia
2007,92115,India,Australia
2007,33628,Indonesia,Australia
2007,12088,Japan,Australia
2007,40405,"Korea, Republic of (South)",Australia
2007,26206,Malaysia,Australia
2007,19936,Nepal,Australia
2007,5122,Norway,Australia
2007,15378,Singapore,Australia
2007,12201,Taiwan,Australia
2007,20093,Thailand,Australia
2007,8709,United Kingdom,Australia
2007,10340,United States of America,Australia
2007,11860,Vietnam,Australia
2008,15310,Bangladesh,Australia
2008,10073,Canada,Australia
